Product_Name,Brand,Price_Tomans,Rating,Reviews,Availability,Category
Washing Machine SNOWA,SNOWA,25000000,4.5,1200,In Stock,Home Appliance
Refrigerator EMSRAM,EMSRAM,38000000,4.7,800,In Stock,Home Appliance
Smartphone GPLUS,GPLUS,8500000,4.3,2500,In Stock,Electronics
Vacuum PARS KHAZAR,PARS KHAZAR,12000000,4.2,600,Out of Stock,Home Appliance
TV SNOWA,SNOWA,18000000,4.6,1500,In Stock,Electronics
Lipstick POONEH,POONEH,250000,4.8,3200,In Stock,Cosmetics
Foundation MASTANE,MASTANE,380000,4.5,1800,In Stock,Cosmetics
Perfume DARIUSH,DARIUSH,450000,4.7,950,In Stock,Cosmetics
Jacket IRAN TEX,IRAN TEX,1200000,4.3,400,Out of Stock,Clothing
Shirt SAADI,SAADI,750000,4.4,600,In Stock,Clothing
